#Time,Head/Temperature/Sensor/,LShoulderPitch/Temperature/Sensor/,LShoulderPitch/ElectricCurrent/Sensor/,LShoulderPitch/Position/Actuator/,LShoulderPitch/Position/Sensor/,LShoulderPitch/Hardness/Actuator/,RShoulderPitch/Temperature/Sensor/,RShoulderPitch/ElectricCurrent/Sensor/,RShoulderPitch/Position/Actuator/,RShoulderPitch/Position/Sensor/,RShoulderPitch/Hardness/Actuator/,LShoulderRoll/Temperature/Sensor/,LShoulderRoll/ElectricCurrent/Sensor/,LShoulderRoll/Position/Actuator/,LShoulderRoll/Position/Sensor/,LShoulderRoll/Hardness/Actuator/,RShoulderRoll/Temperature/Sensor/,RShoulderRoll/ElectricCurrent/Sensor/,RShoulderRoll/Position/Actuator/,RShoulderRoll/Position/Sensor/,RShoulderRoll/Hardness/Actuator/
8,9.10844e-44,50,0.288,1.894,1.88986,1,49,0.256,1.894,1.87606,1,41,0.128,0.00872665,0.00766993,1,41,0.224,-0.00872665,-0.0122719,1
20,9.10844e-44,50,0.288,1.894,1.88986,1,49,0.288,1.894,1.87606,1,41,0.128,0.00872665,0.00766993,1,41,0.192,-0.00872665,-0.0122719,1
32,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87606,1,41,0.128,0.00872665,0.00766993,1,41,0.224,-0.00872665,-0.0122719,1
44,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87759,1,41,0.128,0.00872665,0.00766993,1,41,0.224,-0.00872665,-0.0122719,1
57,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87759,1,41,0.128,0.00872665,0.00766993,1,41,0.192,-0.00872665,-0.0122719,1
68,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87759,1,41,0.128,0.00872665,0.00766993,1,41,0.224,-0.00872665,-0.0122719,1
80,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87759,1,41,0.128,0.00872665,0.00766993,1,41,0.224,-0.00872665,-0.0122719,1
92,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87759,1,41,0.128,0.00872665,0.00766993,1,41,0.192,-0.00872665,-0.0122719,1
105,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87759,1,41,0.128,0.00872665,0.00766993,1,41,0.192,-0.00872665,-0.0122719,1
116,9.10844e-44,50,0.32,1.894,1.88986,1,49,0.288,1.894,1.87913,1,41,0.128,0.00872665,0.00766993,1,41,0.192,-0.00872665,-0.0122719,1
