Date;count
2018-02-12 17:32:16;166153
2018-02-12 17:32:28;166154
2018-02-12 17:32:40;166155
2018-02-12 17:32:50;166156
2018-02-12 17:33:00;166157
2018-02-12 17:33:10;166158
2018-02-12 17:33:20;166159
2018-02-12 17:33:31;166160
2018-02-12 17:33:41;166161
2018-02-12 17:33:51;166162
2018-02-12 17:34:01;166163
2018-02-12 17:34:11;166164
2018-02-12 17:34:21;166165
2018-02-12 17:34:31;166166
2018-02-12 17:34:41;166167
2018-02-12 17:34:52;166168
2018-02-12 17:35:02;166169
2018-02-12 17:35:12;166170
2018-02-12 17:35:22;166171
2018-02-12 17:35:32;166172
2018-02-12 17:35:42;166173
2018-02-12 17:35:52;166174
2018-02-12 17:36:03;166175
2018-02-12 17:36:13;166176
2018-02-12 17:36:23;166177
2018-02-12 17:36:33;166178
2018-02-12 17:36:43;166179
2018-02-12 17:36:53;166180
2018-02-12 17:37:03;166181
2018-02-12 17:37:14;166182
2018-02-12 17:37:24;166183
2018-02-12 17:37:34;166184
2018-02-12 17:37:44;166185
2018-02-12 17:37:54;166186
2018-02-12 17:38:04;166187
2018-02-12 17:38:14;166188
2018-02-12 17:38:25;166189
2018-02-12 17:38:35;166190
2018-02-12 17:38:45;166191
2018-02-12 17:38:55;166192
2018-02-12 17:39:05;166193
2018-02-12 17:39:15;166194
2018-02-12 17:39:25;166195
2018-02-12 17:39:36;166196
2018-02-12 17:39:46;166197
2018-02-12 17:39:56;166198
2018-02-12 17:40:06;166199
2018-02-12 17:40:16;166200
2018-02-12 17:40:26;166201
2018-02-12 17:40:36;166202
2018-02-12 17:40:46;166203
2018-02-12 17:40:57;166204
2018-02-12 17:41:07;166205
2018-02-12 17:41:17;166206
2018-02-12 17:41:27;166207
2018-02-12 17:41:37;166208
2018-02-12 17:41:47;166209
2018-02-12 17:41:57;166210
2018-02-12 17:42:08;166211
2018-02-12 17:42:18;166212
2018-02-12 17:42:28;166213
2018-02-12 17:42:38;166214
2018-02-12 17:42:48;166215
2018-02-12 17:42:58;166216
2018-02-12 17:43:08;166217
2018-02-12 17:43:19;166218
2018-02-12 17:43:29;166219
2018-02-12 17:43:39;166220
2018-02-12 17:43:49;166221
2018-02-12 17:43:59;166222
2018-02-12 17:44:09;166223
2018-02-12 17:44:19;166224
2018-02-12 17:44:29;166225
2018-02-12 17:44:40;166226
2018-02-12 17:44:50;166227
2018-02-12 17:45:00;166228
2018-02-12 17:45:10;166229
2018-02-12 17:45:20;166230
2018-02-12 17:45:30;166231
2018-02-12 17:45:40;166232
2018-02-12 17:45:51;166233
2018-02-12 17:46:01;166234
2018-02-12 17:46:11;166235
2018-02-12 17:46:21;166236
2018-02-12 17:46:31;166237
2018-02-12 17:46:41;166238
2018-02-12 17:46:51;166239
2018-02-12 17:47:02;166240
2018-02-12 17:47:12;166241
2018-02-12 17:47:22;166242
2018-02-12 17:47:32;166243
2018-02-12 17:47:42;166244
2018-02-12 17:47:52;166245
2018-02-12 17:48:02;166246
2018-02-12 17:48:13;166247
2018-02-12 17:48:23;166248
2018-02-12 17:48:33;166249
2018-02-12 17:48:43;166250
2018-02-12 17:48:53;166251
2018-02-12 17:49:03;166252
2018-02-12 17:49:13;166253
2018-02-12 17:49:24;166254
2018-02-12 17:49:34;166255
2018-02-12 17:49:44;166256
2018-02-12 17:49:54;166257
2018-02-12 17:50:04;166258
2018-02-12 17:50:14;166259
2018-02-12 17:50:24;166260
2018-02-12 17:50:35;166261
2018-02-12 17:50:45;166262
2018-02-12 17:50:55;166263
2018-02-12 17:51:05;166264
2018-02-12 17:51:15;166265
2018-02-12 17:51:25;166266
2018-02-12 17:51:35;166267
2018-02-12 17:51:46;166268
2018-02-12 17:51:56;166269
2018-02-12 17:52:06;166270
2018-02-12 17:52:16;166271
2018-02-12 17:52:26;166272
2018-02-12 17:52:36;166273
2018-02-12 17:52:46;166274
2018-02-12 17:52:57;166275
2018-02-12 17:53:07;166276
2018-02-12 17:53:17;166277
2018-02-12 17:53:27;166278
2018-02-12 17:53:37;166279
2018-02-12 17:53:47;166280
2018-02-12 17:53:57;166281
2018-02-12 17:54:07;166282
2018-02-12 17:54:18;166283
2018-02-12 17:54:28;166284
2018-02-12 17:54:38;166285
2018-02-12 17:54:48;166286
2018-02-12 17:54:58;166287
2018-02-12 17:55:08;166288
2018-02-12 17:55:18;166289
2018-02-12 17:55:29;166290
2018-02-12 17:55:39;166291
2018-02-12 17:55:49;166292
2018-02-12 17:55:59;166293
2018-02-12 17:56:09;166294
2018-02-12 17:56:19;166295
2018-02-12 17:56:29;166296
2018-02-12 17:56:40;166297
2018-02-12 17:56:50;166298
2018-02-12 17:57:00;166299
2018-02-12 17:57:10;166300
2018-02-12 17:57:20;166301
2018-02-12 17:57:30;166302
2018-02-12 17:57:40;166303
2018-02-12 17:57:51;166304
2018-02-12 17:58:01;166305
2018-02-12 17:58:11;166306
2018-02-12 17:58:21;166307
2018-02-12 17:58:31;166308
2018-02-12 17:58:41;166309
2018-02-12 17:58:51;166310
2018-02-12 17:59:01;166311
2018-02-12 17:59:12;166312
2018-02-12 17:59:22;166313
2018-02-12 17:59:32;166314
2018-02-12 17:59:42;166315
2018-02-12 17:59:52;166316
2018-02-12 18:00:02;166317
2018-02-12 18:00:12;166318
2018-02-12 18:00:23;166319
2018-02-12 18:00:33;166320
2018-02-12 18:00:43;166321
2018-02-12 18:00:53;166322
2018-02-12 18:01:03;166323
2018-02-12 18:01:13;166324
2018-02-12 18:01:23;166325
2018-02-12 18:01:34;166326
2018-02-12 18:01:44;166327
2018-02-12 18:01:54;166328
2018-02-12 18:02:04;166329
2018-02-12 18:02:14;166330
2018-02-12 18:02:24;166331
2018-02-12 18:02:34;166332
2018-02-12 18:02:44;166333
2018-02-12 18:02:55;166334
2018-02-12 18:03:05;166335
2018-02-12 18:03:15;166336
2018-02-12 18:03:25;166337
2018-02-12 18:03:35;166338
2018-02-12 18:03:45;166339
2018-02-12 18:03:55;166340
2018-02-12 18:04:06;166341
2018-02-12 18:04:16;166342
2018-02-12 18:04:26;166343
2018-02-12 18:04:36;166344
2018-02-12 18:04:46;166345
2018-02-12 18:04:56;166346
2018-02-12 18:05:06;166347
2018-02-12 18:05:17;166348
2018-02-12 18:05:27;166349
2018-02-12 18:05:37;166350
2018-02-12 18:05:47;166351
2018-02-12 18:05:57;166352
2018-02-12 18:06:07;166353
