#Time,Head/Temperature/Sensor/,LShoulderPitch/Temperature/Sensor/,LShoulderPitch/ElectricCurrent/Sensor/,LShoulderPitch/Position/Actuator/,LShoulderPitch/Position/Sensor/,LShoulderPitch/Hardness/Actuator/,RShoulderPitch/Temperature/Sensor/,RShoulderPitch/ElectricCurrent/Sensor/,RShoulderPitch/Position/Actuator/,RShoulderPitch/Position/Sensor/,RShoulderPitch/Hardness/Actuator/,LShoulderRoll/Temperature/Sensor/,LShoulderRoll/ElectricCurrent/Sensor/,LShoulderRoll/Position/Actuator/,LShoulderRoll/Position/Sensor/,LShoulderRoll/Hardness/Actuator/,RShoulderRoll/Temperature/Sensor/,RShoulderRoll/ElectricCurrent/Sensor/,RShoulderRoll/Position/Actuator/,RShoulderRoll/Position/Sensor/,RShoulderRoll/Hardness/Actuator/
10,8.96831e-44,53,0.32,1.894,1.88986,1,51,0.288,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
22,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.256,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0122719,1
35,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.288,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
46,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.32,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
59,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.32,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
70,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.32,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0122719,1
83,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.32,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
94,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.32,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
107,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.384,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
118,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.384,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
131,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.384,1.894,1.87913,1,44,0.224,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
142,8.96831e-44,53,0.384,1.894,1.88986,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
155,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.384,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
167,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
179,8.96831e-44,53,0.384,1.894,1.88986,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
191,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
204,8.96831e-44,53,0.352,1.894,1.88833,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
215,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
228,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.416,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
239,8.96831e-44,53,0.384,1.894,1.88986,1,51,0.448,1.894,1.87913,1,44,0.224,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
252,8.96831e-44,53,0.352,1.894,1.88833,1,51,0.448,1.894,1.87913,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
263,8.96831e-44,53,0.384,1.894,1.88986,1,51,0.416,1.894,1.88066,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
276,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.288,1.894,1.88219,1,44,0.192,0.00872665,0.00766993,1,43,0.16,-0.00872665,-0.0107379,1
287,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.256,1.894,1.88219,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
300,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.288,1.894,1.88219,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
311,8.96831e-44,53,0.352,1.894,1.88986,1,51,0.32,1.894,1.88219,1,44,0.192,0.00872665,0.00766993,1,43,0.128,-0.00872665,-0.0107379,1
324,8.96831e-44,53,0.384,1.89331,1.88986,1,51,0.32,1.89331,1.88373,1,44,0.192,0.00897805,0.00766993,1,43,0.128,-0.00897805,-0.0107379,1
335,8.96831e-44,53,0.384,1.89262,1.88986,1,51,0.32,1.89262,1.88219,1,44,0.192,0.00922945,0.00766993,1,43,0.128,-0.00922945,-0.0107379,1
348,8.96831e-44,53,0.352,1.89007,1.88986,1,51,0.192,1.89007,1.88219,1,44,0.192,0.0101557,0.00766993,1,43,0.128,-0.0101557,-0.0107379,1
359,8.96831e-44,53,0.224,1.8859,1.88986,1,51,0.192,1.8859,1.88373,1,44,0.16,0.011675,0.00766993,1,43,0.128,-0.011675,-0.0107379,1
372,8.96831e-44,53,0,1.88137,1.88986,1,51,0,1.88137,1.88219,1,44,0,0.0133209,0.00766993,1,43,0,-0.0133209,-0.0107379,1
383,8.96831e-44,53,0.288,1.87501,1.88986,1,51,0.096,1.87501,1.88219,1,44,0.096,0.0156374,0.00766993,1,43,0.064,-0.0156374,-0.0107379,1
396,8.96831e-44,53,0.16,1.86864,1.88986,1,51,0.096,1.86864,1.87913,1,44,0.128,0.017954,0.00766993,1,43,0.096,-0.017954,-0.0107379,1
408,8.96831e-44,53,0.544,1.85986,1.88986,1,51,0.032,1.85986,1.87299,1,44,0.16,0.021148,0.00920391,1,43,0.064,-0.021148,-0.0138059,1
